Organism_name	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin	Prothionamide	Ethionamide	URL
SAMEA1403763	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403764	R	R	R	R	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403765	R	R	R	R	R	No result	S	R	S	R	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403766	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403767	R	R	R	S	R	No result	S	S	R	R	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403768	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403769	R	R	S	R	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403770	S	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403771	R	R	S	S	R	No result	S	S	R	R	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403772	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403773	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403774	R	R	R	R	R	No result	S	S	R	R	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403775	S	S	S	R	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403776	R	R	S	R	S	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403777	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403778	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403779	R	R	S	S	R	No result	R	R	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403780	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403781	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403782	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403783	R	R	R	R	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403784	R	R	S	R	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
